,date,year,month,hour,bikes_used,bike_used,year_month
152,2020-05-07T08:00:00,2020,5,08,0,166.0,2020-5
153,2020-05-07T09:00:00,2020,5,09,0,137.0,2020-5
154,2020-05-07T10:00:00,2020,5,10,0,141.0,2020-5
155,2020-05-07T11:00:00,2020,5,11,0,177.0,2020-5
156,2020-05-07T12:00:00,2020,5,12,0,247.0,2020-5
157,2020-05-07T13:00:00,2020,5,13,0,264.0,2020-5
158,2020-05-07T14:00:00,2020,5,14,0,287.0,2020-5
159,2020-05-07T15:00:00,2020,5,15,0,351.0,2020-5
160,2020-05-07T16:00:00,2020,5,16,0,444.0,2020-5
161,2020-05-07T17:00:00,2020,5,17,0,661.0,2020-5
162,2020-05-07T18:00:00,2020,5,18,0,645.0,2020-5
163,2020-05-07T19:00:00,2020,5,19,0,457.0,2020-5
164,2020-05-07T20:00:00,2020,5,20,0,231.0,2020-5
165,2020-05-07T21:00:00,2020,5,21,0,122.0,2020-5
166,2020-05-07T22:00:00,2020,5,22,0,85.0,2020-5
167,2020-05-07T23:00:00,2020,5,23,0,67.0,2020-5
168,2020-05-08T00:00:00,2020,5,00,0,41.0,2020-5
169,2020-05-08T01:00:00,2020,5,01,0,33.0,2020-5
170,2020-05-08T02:00:00,2020,5,02,0,36.0,2020-5
171,2020-05-08T03:00:00,2020,5,03,0,36.0,2020-5
172,2020-05-08T04:00:00,2020,5,04,0,39.0,2020-5
173,2020-05-08T05:00:00,2020,5,05,0,54.0,2020-5
174,2020-05-08T06:00:00,2020,5,06,0,74.0,2020-5
175,2020-05-08T07:00:00,2020,5,07,0,123.0,2020-5
176,2020-05-08T08:00:00,2020,5,08,0,150.0,2020-5
177,2020-05-08T09:00:00,2020,5,09,0,135.0,2020-5
178,2020-05-08T10:00:00,2020,5,10,0,188.0,2020-5
179,2020-05-08T11:00:00,2020,5,11,0,188.0,2020-5
180,2020-05-08T12:00:00,2020,5,12,0,231.0,2020-5
181,2020-05-08T13:00:00,2020,5,13,0,210.0,2020-5
182,2020-05-08T14:00:00,2020,5,14,0,149.0,2020-5
183,2020-05-08T15:00:00,2020,5,15,0,132.0,2020-5
184,2020-05-08T16:00:00,2020,5,16,0,116.0,2020-5
185,2020-05-08T17:00:00,2020,5,17,0,139.0,2020-5
186,2020-05-08T18:00:00,2020,5,18,0,124.0,2020-5
187,2020-05-08T19:00:00,2020,5,19,0,122.0,2020-5
188,2020-05-08T20:00:00,2020,5,20,0,85.0,2020-5
189,2020-05-08T21:00:00,2020,5,21,0,48.0,2020-5
190,2020-05-08T22:00:00,2020,5,22,0,39.0,2020-5
191,2020-05-08T23:00:00,2020,5,23,0,45.0,2020-5
