date,year,month,hour,bikes_used,bike_used,year_month
2020-05-07T01:00:00,2020,5,1,0,27.0,2020-5
2020-05-07T02:00:00,2020,5,2,0,27.0,2020-5
2020-05-07T03:00:00,2020,5,3,0,28.0,2020-5
2020-05-07T04:00:00,2020,5,4,0,34.0,2020-5
2020-05-07T05:00:00,2020,5,5,0,47.0,2020-5
2020-05-07T06:00:00,2020,5,6,0,75.0,2020-5
2020-05-07T07:00:00,2020,5,7,0,137.0,2020-5
2020-05-07T08:00:00,2020,5,8,0,166.0,2020-5
2020-05-07T09:00:00,2020,5,9,0,137.0,2020-5
2020-05-07T10:00:00,2020,5,10,0,141.0,2020-5
2020-05-07T11:00:00,2020,5,11,0,177.0,2020-5
2020-05-07T12:00:00,2020,5,12,0,247.0,2020-5
2020-05-07T13:00:00,2020,5,13,0,264.0,2020-5
2020-05-07T14:00:00,2020,5,14,0,287.0,2020-5
2020-05-07T15:00:00,2020,5,15,0,351.0,2020-5
2020-05-07T16:00:00,2020,5,16,0,444.0,2020-5
2020-05-07T17:00:00,2020,5,17,0,661.0,2020-5
2020-05-07T18:00:00,2020,5,18,0,645.0,2020-5
2020-05-07T19:00:00,2020,5,19,0,457.0,2020-5
2020-05-07T20:00:00,2020,5,20,0,231.0,2020-5
2020-05-07T21:00:00,2020,5,21,0,122.0,2020-5
2020-05-07T22:00:00,2020,5,22,0,85.0,2020-5
2020-05-07T23:00:00,2020,5,23,0,67.0,2020-5
2020-05-08T00:00:00,2020,5,0,0,41.0,2020-5
2020-05-08T01:00:00,2020,5,1,0,33.0,2020-5
2020-05-08T02:00:00,2020,5,2,0,36.0,2020-5
2020-05-08T03:00:00,2020,5,3,0,36.0,2020-5
2020-05-08T04:00:00,2020,5,4,0,39.0,2020-5
2020-05-08T05:00:00,2020,5,5,0,54.0,2020-5
2020-05-08T06:00:00,2020,5,6,0,74.0,2020-5
2020-05-08T07:00:00,2020,5,7,0,123.0,2020-5
2020-05-08T08:00:00,2020,5,8,0,150.0,2020-5
2020-05-08T09:00:00,2020,5,9,0,135.0,2020-5
2020-05-08T10:00:00,2020,5,10,0,188.0,2020-5
2020-05-08T11:00:00,2020,5,11,0,188.0,2020-5
2020-05-08T12:00:00,2020,5,12,0,231.0,2020-5
2020-05-08T13:00:00,2020,5,13,0,210.0,2020-5
2020-05-08T14:00:00,2020,5,14,0,149.0,2020-5
2020-05-08T15:00:00,2020,5,15,0,132.0,2020-5
2020-05-08T16:00:00,2020,5,16,0,116.0,2020-5
2020-05-08T17:00:00,2020,5,17,0,139.0,2020-5
2020-05-08T18:00:00,2020,5,18,0,124.0,2020-5
2020-05-08T19:00:00,2020,5,19,0,122.0,2020-5
2020-05-08T20:00:00,2020,5,20,0,85.0,2020-5
2020-05-08T21:00:00,2020,5,21,0,48.0,2020-5
2020-05-08T22:00:00,2020,5,22,0,39.0,2020-5
2020-05-08T23:00:00,2020,5,23,0,45.0,2020-5
2020-05-09T00:00:00,2020,5,0,0,49.0,2020-5
2020-05-09T01:00:00,2020,5,1,0,31.0,2020-5
2020-05-09T02:00:00,2020,5,2,0,31.0,2020-5
2020-05-09T03:00:00,2020,5,3,0,28.0,2020-5
2020-05-09T04:00:00,2020,5,4,0,30.0,2020-5
2020-05-09T05:00:00,2020,5,5,0,39.0,2020-5
2020-05-09T06:00:00,2020,5,6,0,52.0,2020-5
2020-05-09T07:00:00,2020,5,7,0,70.0,2020-5
2020-05-09T08:00:00,2020,5,8,0,109.0,2020-5
2020-05-09T09:00:00,2020,5,9,0,116.0,2020-5
2020-05-09T10:00:00,2020,5,10,0,192.0,2020-5
2020-05-09T11:00:00,2020,5,11,0,225.0,2020-5
2020-05-09T12:00:00,2020,5,12,0,313.0,2020-5
2020-05-09T13:00:00,2020,5,13,0,307.0,2020-5
2020-05-09T14:00:00,2020,5,14,0,378.0,2020-5
2020-05-09T15:00:00,2020,5,15,0,385.0,2020-5
2020-05-09T16:00:00,2020,5,16,0,301.0,2020-5
2020-05-09T17:00:00,2020,5,17,0,316.0,2020-5
2020-05-09T18:00:00,2020,5,18,0,258.0,2020-5
2020-05-09T19:00:00,2020,5,19,0,210.0,2020-5
2020-05-09T20:00:00,2020,5,20,0,112.0,2020-5
2020-05-09T21:00:00,2020,5,21,0,78.0,2020-5
2020-05-09T22:00:00,2020,5,22,0,68.0,2020-5
2020-05-09T23:00:00,2020,5,23,0,53.0,2020-5
2020-05-10T00:00:00,2020,5,0,0,43.0,2020-5
2020-05-10T01:00:00,2020,5,1,0,34.0,2020-5
2020-05-10T02:00:00,2020,5,2,0,33.0,2020-5
2020-05-10T03:00:00,2020,5,3,0,31.0,2020-5
2020-05-10T04:00:00,2020,5,4,0,34.0,2020-5
2020-05-10T05:00:00,2020,5,5,0,35.0,2020-5
2020-05-10T06:00:00,2020,5,6,0,52.0,2020-5
2020-05-10T07:00:00,2020,5,7,0,76.0,2020-5
2020-05-10T08:00:00,2020,5,8,0,113.0,2020-5
2020-05-10T09:00:00,2020,5,9,0,169.0,2020-5
2020-05-10T10:00:00,2020,5,10,0,236.0,2020-5
2020-05-10T11:00:00,2020,5,11,0,384.0,2020-5
2020-05-10T12:00:00,2020,5,12,0,582.0,2020-5
2020-05-10T13:00:00,2020,5,13,0,724.0,2020-5
2020-05-10T14:00:00,2020,5,14,0,913.0,2020-5
2020-05-10T15:00:00,2020,5,15,0,880.0,2020-5
2020-05-10T16:00:00,2020,5,16,0,812.0,2020-5
2020-05-10T17:00:00,2020,5,17,0,713.0,2020-5
2020-05-10T18:00:00,2020,5,18,0,546.0,2020-5
2020-05-10T19:00:00,2020,5,19,0,340.0,2020-5
2020-05-10T20:00:00,2020,5,20,0,209.0,2020-5
2020-05-10T21:00:00,2020,5,21,0,129.0,2020-5
2020-05-10T22:00:00,2020,5,22,0,88.0,2020-5
2020-05-10T23:00:00,2020,5,23,0,76.0,2020-5
2020-05-11T00:00:00,2020,5,0,0,52.0,2020-5
2020-05-11T01:00:00,2020,5,1,0,51.0,2020-5
2020-05-11T02:00:00,2020,5,2,0,49.0,2020-5
2020-05-11T03:00:00,2020,5,3,0,49.0,2020-5
2020-05-11T04:00:00,2020,5,4,0,45.0,2020-5
2020-05-11T05:00:00,2020,5,5,0,54.0,2020-5
2020-05-11T06:00:00,2020,5,6,0,77.0,2020-5
2020-05-11T07:00:00,2020,5,7,0,128.0,2020-5
2020-05-11T08:00:00,2020,5,8,0,157.0,2020-5
2020-05-11T09:00:00,2020,5,9,0,150.0,2020-5
2020-05-11T10:00:00,2020,5,10,0,137.0,2020-5
2020-05-11T11:00:00,2020,5,11,0,150.0,2020-5
2020-05-11T12:00:00,2020,5,12,0,206.0,2020-5
2020-05-11T13:00:00,2020,5,13,0,189.0,2020-5
2020-05-11T14:00:00,2020,5,14,0,184.0,2020-5
2020-05-11T15:00:00,2020,5,15,0,223.0,2020-5
2020-05-11T16:00:00,2020,5,16,0,267.0,2020-5
2020-05-11T17:00:00,2020,5,17,0,310.0,2020-5
2020-05-11T18:00:00,2020,5,18,0,325.0,2020-5
2020-05-11T19:00:00,2020,5,19,0,205.0,2020-5
2020-05-11T20:00:00,2020,5,20,0,92.0,2020-5
2020-05-11T21:00:00,2020,5,21,0,67.0,2020-5
2020-05-11T22:00:00,2020,5,22,0,65.0,2020-5
2020-05-11T23:00:00,2020,5,23,0,51.0,2020-5
2020-05-12T00:00:00,2020,5,0,0,35.0,2020-5
2020-05-12T01:00:00,2020,5,1,0,36.0,2020-5
2020-05-12T02:00:00,2020,5,2,0,33.0,2020-5
2020-05-12T03:00:00,2020,5,3,0,35.0,2020-5
2020-05-12T04:00:00,2020,5,4,0,35.0,2020-5
2020-05-12T05:00:00,2020,5,5,0,54.0,2020-5
2020-05-12T06:00:00,2020,5,6,0,85.0,2020-5
2020-05-12T07:00:00,2020,5,7,0,131.0,2020-5
2020-05-12T08:00:00,2020,5,8,0,141.0,2020-5
2020-05-12T09:00:00,2020,5,9,0,124.0,2020-5
2020-05-12T10:00:00,2020,5,10,0,126.0,2020-5
2020-05-12T11:00:00,2020,5,11,0,153.0,2020-5
2020-05-12T12:00:00,2020,5,12,0,206.0,2020-5
2020-05-12T13:00:00,2020,5,13,0,219.0,2020-5
2020-05-12T14:00:00,2020,5,14,0,258.0,2020-5
2020-05-12T15:00:00,2020,5,15,0,265.0,2020-5
2020-05-12T16:00:00,2020,5,16,0,328.0,2020-5
2020-05-12T17:00:00,2020,5,17,0,437.0,2020-5
2020-05-12T18:00:00,2020,5,18,0,427.0,2020-5
2020-05-12T19:00:00,2020,5,19,0,347.0,2020-5
2020-05-12T20:00:00,2020,5,20,0,209.0,2020-5
2020-05-12T21:00:00,2020,5,21,0,93.0,2020-5
2020-05-12T22:00:00,2020,5,22,0,62.0,2020-5
2020-05-12T23:00:00,2020,5,23,0,66.0,2020-5
2020-05-13T00:00:00,2020,5,0,0,44.0,2020-5
2020-05-13T01:00:00,2020,5,1,0,39.0,2020-5
2020-05-13T02:00:00,2020,5,2,0,35.0,2020-5
2020-05-13T03:00:00,2020,5,3,0,41.0,2020-5
2020-05-13T04:00:00,2020,5,4,0,42.0,2020-5
2020-05-13T05:00:00,2020,5,5,0,60.0,2020-5
2020-05-13T06:00:00,2020,5,6,0,83.0,2020-5
2020-05-13T07:00:00,2020,5,7,0,106.0,2020-5
2020-05-13T08:00:00,2020,5,8,0,168.0,2020-5
2020-05-13T09:00:00,2020,5,9,0,160.0,2020-5
2020-05-13T10:00:00,2020,5,10,0,154.0,2020-5
2020-05-13T11:00:00,2020,5,11,0,197.0,2020-5
2020-05-13T12:00:00,2020,5,12,0,256.0,2020-5
2020-05-13T13:00:00,2020,5,13,0,287.0,2020-5
2020-05-13T14:00:00,2020,5,14,0,362.0,2020-5
2020-05-13T15:00:00,2020,5,15,0,396.0,2020-5
2020-05-13T16:00:00,2020,5,16,0,481.0,2020-5
2020-05-13T17:00:00,2020,5,17,0,663.0,2020-5
2020-05-13T18:00:00,2020,5,18,0,671.0,2020-5
2020-05-13T19:00:00,2020,5,19,0,494.0,2020-5
2020-05-13T20:00:00,2020,5,20,0,273.0,2020-5
2020-05-13T21:00:00,2020,5,21,0,137.0,2020-5
2020-05-13T22:00:00,2020,5,22,0,96.0,2020-5
2020-05-13T23:00:00,2020,5,23,0,79.0,2020-5
2020-05-14T00:00:00,2020,5,0,0,60.0,2020-5
2020-05-14T01:00:00,2020,5,1,0,54.0,2020-5
2020-05-14T02:00:00,2020,5,2,0,51.0,2020-5
2020-05-14T03:00:00,2020,5,3,0,47.0,2020-5
2020-05-14T04:00:00,2020,5,4,0,50.0,2020-5
2020-05-14T05:00:00,2020,5,5,0,72.0,2020-5
2020-05-14T06:00:00,2020,5,6,0,108.0,2020-5
2020-05-14T07:00:00,2020,5,7,0,139.0,2020-5
2020-05-14T08:00:00,2020,5,8,0,173.0,2020-5
2020-05-14T09:00:00,2020,5,9,0,154.0,2020-5
2020-05-14T10:00:00,2020,5,10,0,164.0,2020-5
2020-05-14T11:00:00,2020,5,11,0,207.0,2020-5
2020-05-14T12:00:00,2020,5,12,0,259.0,2020-5
2020-05-14T13:00:00,2020,5,13,0,294.0,2020-5
2020-05-14T14:00:00,2020,5,14,0,290.0,2020-5
2020-05-14T15:00:00,2020,5,15,0,259.0,2020-5
2020-05-14T16:00:00,2020,5,16,0,367.0,2020-5
2020-05-14T17:00:00,2020,5,17,0,537.0,2020-5
2020-05-14T18:00:00,2020,5,18,0,591.0,2020-5
2020-05-14T19:00:00,2020,5,19,0,459.0,2020-5
2020-05-14T20:00:00,2020,5,20,0,229.0,2020-5
2020-05-14T21:00:00,2020,5,21,0,120.0,2020-5
2020-05-14T22:00:00,2020,5,22,0,76.0,2020-5
2020-05-14T23:00:00,2020,5,23,0,66.0,2020-5
2020-05-15T00:00:00,2020,5,0,0,51.0,2020-5
2020-05-15T01:00:00,2020,5,1,0,50.0,2020-5
2020-05-15T02:00:00,2020,5,2,0,49.0,2020-5
2020-05-15T03:00:00,2020,5,3,0,41.0,2020-5
2020-05-15T04:00:00,2020,5,4,0,43.0,2020-5
2020-05-15T05:00:00,2020,5,5,0,61.0,2020-5
2020-05-15T06:00:00,2020,5,6,0,113.0,2020-5
2020-05-15T07:00:00,2020,5,7,0,152.0,2020-5
2020-05-15T08:00:00,2020,5,8,0,198.0,2020-5
2020-05-15T09:00:00,2020,5,9,0,183.0,2020-5
2020-05-15T10:00:00,2020,5,10,0,217.0,2020-5
2020-05-15T11:00:00,2020,5,11,0,271.0,2020-5
2020-05-15T12:00:00,2020,5,12,0,344.0,2020-5
2020-05-15T13:00:00,2020,5,13,0,412.0,2020-5
2020-05-15T14:00:00,2020,5,14,0,478.0,2020-5
2020-05-15T15:00:00,2020,5,15,0,574.0,2020-5
2020-05-15T16:00:00,2020,5,16,0,679.0,2020-5
2020-05-15T17:00:00,2020,5,17,0,850.0,2020-5
2020-05-15T18:00:00,2020,5,18,0,829.0,2020-5
2020-05-15T19:00:00,2020,5,19,0,720.0,2020-5
2020-05-15T20:00:00,2020,5,20,0,505.0,2020-5
2020-05-15T21:00:00,2020,5,21,0,276.0,2020-5
2020-05-15T22:00:00,2020,5,22,0,191.0,2020-5
2020-05-15T23:00:00,2020,5,23,0,172.0,2020-5
2020-05-16T00:00:00,2020,5,0,0,132.0,2020-5
2020-05-16T01:00:00,2020,5,1,0,101.0,2020-5
2020-05-16T02:00:00,2020,5,2,0,97.0,2020-5
2020-05-16T03:00:00,2020,5,3,0,88.0,2020-5
2020-05-16T04:00:00,2020,5,4,0,75.0,2020-5
2020-05-16T05:00:00,2020,5,5,0,85.0,2020-5
2020-05-16T06:00:00,2020,5,6,0,125.0,2020-5
2020-05-16T07:00:00,2020,5,7,0,143.0,2020-5
2020-05-16T08:00:00,2020,5,8,0,235.0,2020-5
2020-05-16T09:00:00,2020,5,9,0,349.0,2020-5
2020-05-16T10:00:00,2020,5,10,0,508.0,2020-5
2020-05-16T11:00:00,2020,5,11,0,671.0,2020-5
2020-05-16T12:00:00,2020,5,12,0,822.0,2020-5
2020-05-16T13:00:00,2020,5,13,0,1009.0,2020-5
2020-05-16T14:00:00,2020,5,14,0,1154.0,2020-5
2020-05-16T15:00:00,2020,5,15,0,1224.0,2020-5
2020-05-16T16:00:00,2020,5,16,0,1171.0,2020-5
2020-05-16T17:00:00,2020,5,17,0,1025.0,2020-5
2020-05-16T18:00:00,2020,5,18,0,915.0,2020-5
2020-05-16T19:00:00,2020,5,19,0,737.0,2020-5
2020-05-16T20:00:00,2020,5,20,0,482.0,2020-5
2020-05-16T21:00:00,2020,5,21,0,306.0,2020-5
2020-05-16T22:00:00,2020,5,22,0,223.0,2020-5
2020-05-16T23:00:00,2020,5,23,0,207.0,2020-5
2020-05-17T00:00:00,2020,5,0,0,156.0,2020-5
2020-05-17T01:00:00,2020,5,1,0,121.0,2020-5
2020-05-17T02:00:00,2020,5,2,0,94.0,2020-5
2020-05-17T03:00:00,2020,5,3,0,97.0,2020-5
2020-05-17T04:00:00,2020,5,4,0,95.0,2020-5
2020-05-17T05:00:00,2020,5,5,0,99.0,2020-5
2020-05-17T06:00:00,2020,5,6,0,120.0,2020-5
2020-05-17T07:00:00,2020,5,7,0,146.0,2020-5
2020-05-17T08:00:00,2020,5,8,0,221.0,2020-5
2020-05-17T09:00:00,2020,5,9,0,293.0,2020-5
2020-05-17T10:00:00,2020,5,10,0,371.0,2020-5
2020-05-17T11:00:00,2020,5,11,0,430.0,2020-5
2020-05-17T12:00:00,2020,5,12,0,606.0,2020-5
2020-05-17T13:00:00,2020,5,13,0,666.0,2020-5
2020-05-17T14:00:00,2020,5,14,0,783.0,2020-5
2020-05-17T15:00:00,2020,5,15,0,818.0,2020-5
2020-05-17T16:00:00,2020,5,16,0,762.0,2020-5
2020-05-17T17:00:00,2020,5,17,0,657.0,2020-5
2020-05-17T18:00:00,2020,5,18,0,603.0,2020-5
2020-05-17T19:00:00,2020,5,19,0,432.0,2020-5
2020-05-17T20:00:00,2020,5,20,0,254.0,2020-5
2020-05-17T21:00:00,2020,5,21,0,168.0,2020-5
2020-05-17T22:00:00,2020,5,22,0,131.0,2020-5
2020-05-17T23:00:00,2020,5,23,0,113.0,2020-5
2020-05-18T00:00:00,2020,5,0,0,86.0,2020-5
2020-05-18T01:00:00,2020,5,1,0,81.0,2020-5
2020-05-18T02:00:00,2020,5,2,0,71.0,2020-5
2020-05-18T03:00:00,2020,5,3,0,71.0,2020-5
2020-05-18T04:00:00,2020,5,4,0,75.0,2020-5
2020-05-18T05:00:00,2020,5,5,0,89.0,2020-5
2020-05-18T06:00:00,2020,5,6,0,119.0,2020-5
